concentration,rep,istd_area,no3_area,analysis_day
1.290239,1,11.31,69.58,1
1.290239,2,10.81,66.89,1
1.290239,3,10.18,68.96,1
0.112896,1,12.71,7.64,1
0.112896,2,11.43,6.32,1
0.112896,3,9.28,5.01,1
0.112896,1,9.72,5.65,2
0.112896,2,8.99,5.2,2
0.112896,3,8.74,4.84,2
1.290239,1,9.12,64,2
1.290239,2,9.83,66.82,2
1.290239,3,8.86,56.37,2
0.112896,1,12.15,7.05,3
0.112896,2,9.14,5.07,3
0.112896,3,11.16,6.95,3
1.290239,1,10.5,66.68,3
1.290239,2,10.54,66.58,3
1.290239,3,10.22,64.76,3
0.112896,1,14.2,7.57,4
0.112896,2,12.72,6.71,4
0.112896,3,9.99,5.41,4
1.290239,1,12.59,77.37,4
1.290239,2,11.9,69.47,4
1.290239,3,11.38,71.44,4
0.112896,1,11.2,6.8,5
0.112896,2,11.74,6.54,5
0.112896,3,10.33,5.61,5
1.290239,1,12.29,76.98,5
1.290239,2,11.77,75.82,5
1.290239,3,9.72,60.19,5
